address,confirmed_sats,mempool_sats,total_sats,total_btc
1EBu63KqXN7LBYMCT4L7xt484YbFm1PY5S,-1,-1,-1,-1.00000000
1HguCc9xCH1NWYhbw9FuHgnPBeM5hrTHGz,-1,-1,-1,-1.00000000
1DPFt9yqWDiJYLDYxLEaCLN4sBNJ7od89C,-1,-1,-1,-1.00000000
1AUNYAoxhQxfsxpwb1Y1d2QsvnGNdV3VW8,-1,-1,-1,-1.00000000
123fUNhmjevcRs4BrAkGNVBGSWNjmHqoky,-1,-1,-1,-1.00000000
1MFJXPhhPBwnmJiN1CpMjEXgk11NEx7g3q,-1,-1,-1,-1.00000000
14PUnVBsSCpNHcZAzyxem34B2p83HAda5s,-1,-1,-1,-1.00000000
1E6NyEwvEb5PDTJGwm1WMukKbwm4tAzHye,-1,-1,-1,-1.00000000
1G7e2WtudCd5UB4TvBjf9TUpqgMvf5UAmx,-1,-1,-1,-1.00000000
1FT5kXu5Gx1akmjoyrbPf8rw244j94V7kP,-1,-1,-1,-1.00000000
1Gi9q12VRDgi9vSV6mkEhtojEmAv3m4pYd,-1,-1,-1,-1.00000000
16m4XmYZq2VHLZuzRnGbu199oDBLDHiDpV,-1,-1,-1,-1.00000000
1MK7Tpn3SsKjs6HwjSs1D1e1818vjR8oxs,-1,-1,-1,-1.00000000
18YZQw7SasRCwm7kth4eV2TUFTafP5fmMv,-1,-1,-1,-1.00000000
1MbygNYKYVM6oLGVVPkGM5N3FuciJFpNV2,-1,-1,-1,-1.00000000
13ti2knkJSn3HfUgvT7v7i8KCDdV28CPvc,-1,-1,-1,-1.00000000
1KChqhYSpqL3yLnrBvvqqSpXrVQsSfCScy,-1,-1,-1,-1.00000000
1GhRXw81Vv8GG2rNbKiyqvxr7GrzJMDPZ5,-1,-1,-1,-1.00000000
1NV69qpnQtAoP2EZYaToZePHQXCSx7m1uP,-1,-1,-1,-1.00000000
1K4WFfwB6DyzLUsHBX1tZupe9RtnfJWSFi,-1,-1,-1,-1.00000000
12CiHZT1of1y8ZBcsgJc9M21CsLiLSCe3i,-1,-1,-1,-1.00000000
1H4bYCcx7eBroydzspCy1M5wesFNjDCMSh,-1,-1,-1,-1.00000000
1i5SPGzAuh98KrZ6DNuFAD3QGB9dzDqKF,-1,-1,-1,-1.00000000
1Y6GFfq7L5XDpKNmQXaBijanpoVdfU7vJ,-1,-1,-1,-1.00000000
19tGj4tdNpzRHYjZA58AtPG8SC8Q7d9UcH,-1,-1,-1,-1.00000000
1CumzEJXYuynM4uTAeEXyMnXGFdPfLPJQM,-1,-1,-1,-1.00000000
14U58nz5J67wq74kZgDjARafKrkUfZFgfT,-1,-1,-1,-1.00000000
18YyMXHmvmo3EQ3SH7whaNLobsDfAtkQmH,-1,-1,-1,-1.00000000
15EQUxvWkKRCVEHGtF7GiLQbYSdUcy341p,-1,-1,-1,-1.00000000
13Qq7b62PtUBTugDsoReivVfzUYAL5QdZx,-1,-1,-1,-1.00000000
1KMDh8GsSLdyXrqiik9oE3bhSS4ymU8gem,-1,-1,-1,-1.00000000
